fieldnegro,fieldnegro
bookwyrm102571,syndicalisms
dastanlp,mazaguaritox
cunlimitedpro,mediaite
lisamack2014,foxnews
donna_west,opferguson
trevorlies,slate
detroitsamwhite,joyannreid
lifejustnow,mofmars333
praetorian33,nyc
riotheatherrr,adaptanita
monstermarcia,timewarnerctr
truth4ever87,youranonnews
bbarlach,bloombergnews
tommy_kf,drose
guildfreelancer,dailykos
repmorris,mattstone
lofiandwhatnot,colorofchange
bradfordera,tklapac
jessefai,106andpark
khawlis,amilcarhanniba1
julieturbanfarm,pdpj
blessedin2014,caaav
tonyt2_,bet
owlsasylum,deray
heffnera,gwenifill
adbridgeforth,politics_pr
beautiflyblndd,occupywallstnyc
debramiller962,isabeltheangell
samfrominternet,nydailynews
jamee_nicolee,jameshaning
austinkellerman,fox16news
americana_2020,udegmx
faenterprise1,yolobilf
sugadaddyswag,piaglenn
dawnchapmanstl,andrehepkins
mayoazul3,worleydervish
esjaydubya,deray
big6domino,anoncopwatch
bocaratonrc,bizpacreview
puestoloco,mccaskilloffice
thinkpinkdrink,taste_of_usa
shirleyt309,chriskingstl
budholly59,dierdrelewis
muychitu,mysonne
blazinbrownskin,shomaristone
speakertimjones,jasonrileywsj
data88geek,vj44
agirlnamedandy,johnkroman
_marium_,tearscarpenter
kritkuck,sheriffclarke
itswanda,thejusticedept
kensimonsays,elonjames
a_amanda3127,timcast
caligraphist,dreamdefenders
gsaysok,lukewearechange
velasconews,petertinti
seabiscuitaal,shomaristone
akirana_p,voice
questionall4000,cnn
ayxiit,olblightbrigade
nancykmareka,theroot
imsweetleaf,billingsgazette
heatjarvis,blacklikewho
rhh,jdickerson
blueberryt1,hrw
redannebolynn,nettaaaaaaaa
jaymeleekim,cindyspoon
ncpoliticalspin,patmcgoniglenbc
xmaseveevil1,propublica
lovelytamar,mrmilitantnegro
laneybaby004,stop_thug
simplyyoso,nydailynews
mullet_burden,natashalennard
blaqueword,deray
owcharukmusic,tananarivedue
tortured_verse,yamiche
amladydragonfly,sheenbean32
winnersusedrugs,ladieaupair
gaitearieljose,opymorales
413medina,huffingtonpost
nljac000,bkesling
fo_sag,altonwang
tuxcedocat,edshow
kiwizzo,aliciagarza
watchnwachukwu,sammytellem
tayontheburg,globalgrindnews
athelind,the_intercept
prettyboy_papi,upworthy
funnfoto,drake
athena5000,youngster2574
awkward_duck,nyjusticeleague
moniqvervoort,nytmetro
informawoken,unorthodex
custommani,zellieimani
quinnlistener,i_hate_hippies
nathanalbert,marcussimmonscc
kalizara,024601
msgoldsby74,tamirrice_agent
tsukikomumai,candacetx
momkimery,orioles
blackhistoryent,blackvoices
richardrsmithjr,rel789
jimalrice,harleybluesfab4
typicalcircle,search4swag
dodi70,occupythemob
iluvseanbreed,iluvseanbreed
mikeandrew88,gogo21894
carpedanny,jonswaine
cafeaulaitloves,awkward_duck
cjacobkuria,cnn
poconotd,poconorecord
artoffallenleaf,shayajaelle
ericgiesel,antjelorenz
sincerely_walle,sairemusic
chelseababy_,michaelskolnik
cptfunkadunk,activist360
des_tiny,1
jawedup,aishas
romartin97,talbertswan
whapen_ulikeman,hoestoplyin
philipgeany,shaltiar
carynrose,amnesty
adultfur,wyzechef
twtdip,writersofcolour
newscritter,safya77
bflolovergirl,kaos_agents
fineappleria,deray
reachhard_,armandosaysno
rissa_sunshyne,nbcnews
fredm3361,laurakhettiger
callmekingkeysh,tyleroakley
michaelnissan,ap
___nickatnite,cnnbrk
novolie,ohiostudents
elexissmith5800,muwsga
rmnctzn,barackobama
plzxcuse_myhand,antheezie
dandraperkc,mashable
noworriesbrahh,chrisvannini
solomonbrazy,wsj
moneyheff,hiphopdetroit
daanroks,g_werners
baysolidarity,jodietonita
rumpkat,vibemagazine
rashardthegawd,thisisfusion
lslay19,rt_com
tracielove314,nettaaaaaaaa
chinkyeyez007,louisfarrakhan
ektrick,tyleroakley
rapsays40,fox12oregon
shamshoumah,johnzangas
steelercouple,nettaaaaaaaa
mechtild5,govjaynixon
patlks5757,mitzimoments
sebishiphop,harveywins
ryanalovely,tefpoe
propernig,byninamartin
feministesbcn,beautifulchaosj
scallen,emmangoldstein
travisljones,harikondabolu
hazad_da,bipartisanism
hunspirillen,poulhoi
c4544s,sarahkendzior
jaded_octopus,blogdiva
antonio_48,repjohnlewis
d_mn,nprnews
b9ace,daneyvilla
mikaylaordway,msmeghanmakeup
kerirn,stillsweetwater
joohyun_kang,azi
analogmom,amymeansjustice
keltilass,nedrawspeaks
kporqueria,kaylakw_
j_gvm,bipartisanism
julieannsanchez,bbcworld
joyismyrealname,mrdaveyd
taiping2,jackfrombkln
karinalives,talbertswan
_idonttweet,marclamonthill
best_emptynest,lamontlilly
petranilla14,zellieimani
englewoodelaine,cnnbrk
jolie_is_blonde,thereval
lburnham71,busquedajess
virtuousjoi,nettaaaaaaaa
pvxxp,mtvnews
jzimmerman760,757livetz
micki_t,truckerdaddy225
davidnicole220,outkast
mtukuitonga,boingboing
vhb_don,organizemo
yayayarndiva,brianowen
jtreglio,wyzechef
anjelnakole,illlillil
cindywue,daneyvill
thelfshow,mrchuckd
zemrag7,nettaaaaaaaa
bopinion,davidjshipley
daddykewl09,katiepavlich
antbloom,xlnb
sierramike320,laurakhettiger
integrated_pr,cnntonight
westjaxdread,robertdedwards
kendra_9,thesalteater
benniewiley,olugbengablacks
editor_rj_,ksdknews
lolakeeley_,leseanthomas
keltilass,everybodyh8rick
marstraveler,chplt
cliffpotts,reuters
aterrellsmith,fdrlst
ceestave,oprah
gloriamitchell6,ikkigham
djashekasashay,ursaursabobursa
truthfultaj,theroot
lilhulkq,maddyjrbrown
i_lovenation,ryanjreilly
latvives,ericgarcetti
simpostings,jamalhbryant
jrarbie,uofoklahoma
kayym_stackz,pxrrielou
peleirgangladen,eagles
von_cliff,bigdreamsmitch
kallisti,slmpd
ldgreene,policereporter
lashonp,steve_os
beehappy44,huffingtonpost
aprilvtaylor,thenycbmx
donnybudmon,onlyhiphopfacts
nickritzer,globalgrindnews
trocnew,vibemagazine
jess_refreshed,nickythekat
bguarino58,leeannwright4
alisonbuckley,tyreebp
rossmanms,clepolice
nicholsnyasia,voice
lilymooncloud,therightscoop
irregularshed,tallyannae
blerdmommy,jbrownedianis
lucassdavis,complexmag
holly_delrey,bustarhymes
kapowbased,bipartisanism
paigesofrosh,cool_tweetsss
ltkd_pro,krystle_star
jacobjacobbaca,tvmarci
jmahan1178,global_hackers
walkermoskop,stephencdeere
muhrieeee,jamilahlemieux
realjusticephl,lucy_duncan
gabriellaw30,kysadrian
_kingofthehill1,kid_heartless
jewbaby57,larryelder
emilyjoypoetry,micahbales
missconstrue,opferguson
mattyfrankmusic,bbcbreaking
russelwilson11,wftv
timimcewen,officialkimora
mikebrowncover,stltoday
lovepatriaworld,msnbc
unlewis,groovesdc
davidstlhss,elisacrouch
lizzvjlg,utahedmfam
gtfonation,waragainstwomen
briwhereyouat,thebaxterbean
eightyfoe,therealheemdee
livmgee,complexmag
tvnyx,mikebrowncover
beeeyedouble,baltimoresun
jamesobama,deray
amareshmisrafc,hillaryclinton
hyem12,theblaze
blistpundit,green_footballs
bhigh18,dmmaster13
jason_it,appsame
goliathcousin,kfranklinphd
interocc,titojac
opiesmom2,search4swag
jewelnichelle,cooltabletweets
darnellellison,johnarchibald
mshson,jasonrileywsj
arealcoolcat,ap
activist30,esglaude
_idgalovely,sonsandbros
danaypuss_,smokeyellison
goppowercitizen,senjackreed
lolabelleblair,oneproudliberal
jatpretanw,olayinkaadeaga
aizou_,6billionpeople
jmcwida,lisabloom
ibreedlove4u,shandatv
dm5_osu,donnabrazile
helloim_jd,post
evinhill,mmflint
youngmannyrf,chrissongzzz
mrboro615,cnn
antonio_hickman,nycjim
sophialamar1,pmbeers
mztakeova,nettaaaaaaaa
ambercessac,ryan_kartje
maggie_prest,yamiche
janevoter,atlas_anonymous
mrichnews,nbcnews
ivyleague1908,bimadew
laurakoch1118,youranonglobal
simplyhoran,ochiprop
amazingjulz,eldifusor
dj360degreez,kenerojr
katjerrr,bostonglobe
_tabari_,deadspin
jayrockjenkins,thejohnhenton
marti431uew,nineinchbride
1luv2,marmel
defensturk,rt_com
crystalfc4rh,theanonmessage
hiomerri,lcl21ce
ksudhoff,paullewis
daniellegee,stlcountypd
jessicalillian,nbcnews
chibambo,theroot
josolley,dloesch
strongenoughmw1,billyraycyrus
myloveisaverb,bdoulaoblongata
shadbrownie,kyunglahcnn
kelynne,elonjames
holsombackleeza,nbcwashington
johnbanner11,sickjew
principia,michaelskolnik
sarmermamabear,alicesperi
djderrell_,khalid_smith24
crystalawhaley,britnidwrites
lawselfdefense,msebl
rootedsystem,copwatch
amyayers16,docrocktex26
pinkopaque22,washingtonpost
raf2attac,livestream
chaneybl,trollinfools
kelalea,mattstratton
muellerhistory,abc
supermanddh2012,cnnbrk
cdrboshtette,mspackyett
john_l_smith___,rosesnberries
blakktie,arlohemphill
almagyocuevas,benjaminnorton
annisafarma1,talbertswan
charofcommune,dmooreudw
truthblooms1,teapartycat
danielbussone,whitehouse
betterclinger,terrymcsweeney
marcgeller,stefaniecnn
ireekexcellence,jeromegay
jesusismyking_7,twitter
lunarskye,kidnoble
shirlfior,cheetahpizzas
vegangiee,lisabloom
nappyheadblkgrl,ekw248
yceeasy,complexmag
russellglass,chrislhayes
transawakening,rt_america
cindywue,tefpoe
lynngg,rednationrising
dcliii44,fitchmields
nahodkyn,cnnbrk
mjkellysmith,matttw
anonymouspress,ryanjreilly
shaqustewart19,deray
noremaksnilloc,mzkendrafoster
1sbct,julijuxtaposed
deray,hj_rodgers
sardnas51,missjupiter1957
